#RUNGE KUTTA   S1,S2 =  0.0000000000000000E+00,   3.776668000000000
#        HMIN,H,HMAX =  0.5000000000000000E-03,  0.1000000000000000,  0.7000000000000001
#             EPS,BS =  0.1000000000000000E-09,  0.2000000000000000E-08
# STEP    S                 DS
     0  0.0000000000E+00  0.10000E+00
     1  0.1000000000E+00  0.10000E+00
     3  0.2333333333E+00  0.13333E+00
     5  0.4111111111E+00  0.17778E+00
     8  0.4411090051E+00  0.29998E-01
     9  0.5034205182E+00  0.62312E-01
    10  0.5553954732E+00  0.51975E-01
    11  0.6032357235E+00  0.47840E-01
    12  0.6512297972E+00  0.47994E-01
    13  0.7019410281E+00  0.50711E-01
    14  0.7547016392E+00  0.52761E-01
    15  0.8136960544E+00  0.58994E-01
    16  0.8865122965E+00  0.72816E-01
    17  0.9652993737E+00  0.78787E-01
    18  0.1022770884E+01  0.57472E-01
    20  0.1037592592E+01  0.14822E-01
    21  0.1065205051E+01  0.27612E-01
    22  0.1095782666E+01  0.30578E-01
    23  0.1118555348E+01  0.22773E-01
    24  0.1138284743E+01  0.19729E-01
    25  0.1160168946E+01  0.21884E-01
    26  0.1179456790E+01  0.19288E-01
    27  0.1198805942E+01  0.19349E-01
    28  0.1222979532E+01  0.24174E-01
    29  0.1246471658E+01  0.23492E-01
    30  0.1274369375E+01  0.27898E-01
    31  0.1302601015E+01  0.28232E-01
    32  0.1341090298E+01  0.38489E-01
