# number of rays:       5
# iteration   ray    X              A              Y              B              T              D
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2  0.1000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      4  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1000000E-03

       100      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       100      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       100      2  0.2497404E-04 -0.4518795E-03  0.0000000E+00  0.0000000E+00 -0.4676584E-03  0.3633573E-06
       100      3 -0.1575749E-06 -0.4166184E-07 -0.1245455E-02 -0.3602263E-03 -0.4802465E-03  0.3735803E-06
       100      4 -0.1105480E-06  0.1134685E-06  0.0000000E+00  0.0000000E+00  0.2093111E+00 -0.5682769E-04

       200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       200      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       200      2 -0.1022015E-02  0.3795748E-03  0.0000000E+00  0.0000000E+00  0.5596730E-03  0.2952563E-06
       200      3  0.2580170E-06  0.3941375E-07 -0.2163595E-02 -0.3368207E-03  0.5751569E-03  0.3039605E-06
       200      4  0.4854605E-07 -0.9484835E-07  0.0000000E+00  0.0000000E+00 -0.2430736E+00 -0.3319429E-04

       300      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       300      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       300      2  0.8330264E-03  0.1329716E-03  0.0000000E+00  0.0000000E+00 -0.2023983E-03  0.1346111E-07
       300      3  0.3084974E-07 -0.1342668E-07 -0.7775784E-03  0.4547443E-04 -0.2085723E-03  0.1375806E-07
       300      4  0.1074085E-07 -0.3477732E-07  0.0000000E+00  0.0000000E+00  0.7355461E-01  0.9607924E-04

       400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       400      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       400      2  0.3217292E-03 -0.4915951E-03  0.0000000E+00  0.0000000E+00 -0.3170478E-03  0.4190433E-06
       400      3 -0.1339267E-06 -0.6988925E-07  0.1436637E-02  0.3791466E-03 -0.3253710E-03  0.4309291E-06
       400      4 -0.2211968E-06  0.1345375E-06  0.0000000E+00  0.0000000E+00  0.1580906E+00 -0.7794115E-04

       500      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       500      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       500      2 -0.1103905E-02  0.2798262E-03  0.0000000E+00  0.0000000E+00  0.5817157E-03  0.2151046E-06
       500      3  0.1996162E-06  0.7897752E-07  0.2120919E-02  0.3092090E-03  0.5982480E-03  0.2215206E-06
       500      4  0.1694692E-06 -0.9994919E-07  0.0000000E+00  0.0000000E+00 -0.2566807E+00 -0.5148285E-05

       600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       600      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
