# number of spin vectors:       5
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01

       100      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       100      1 -0.8730071E-02  0.0000000E+00  0.9999619E+00
       100      2 -0.9104709E-02  0.0000000E+00  0.9999586E+00
       100      3 -0.8730520E-02 -0.3011602E-03  0.9999618E+00
       100      4 -0.4121049E-02  0.0000000E+00  0.9999915E+00

       200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       200      1 -0.1745948E-01  0.0000000E+00  0.9998476E+00
       200      2 -0.1710478E-01  0.0000000E+00  0.9998537E+00
       200      3 -0.1742645E-01 -0.2809333E-03  0.9998481E+00
       200      4 -0.2281109E-01  0.0000000E+00  0.9997398E+00

       300      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       300      1 -0.2618755E-01  0.0000000E+00  0.9996570E+00
       300      2 -0.2604349E-01  0.0000000E+00  0.9996608E+00
       300      3 -0.2616165E-01  0.3893506E-04  0.9996577E+00
       300      4 -0.2456857E-01  0.0000000E+00  0.9996981E+00

       400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       400      1 -0.3491363E-01  0.0000000E+00  0.9993903E+00
       400      2 -0.3528044E-01  0.0000000E+00  0.9993775E+00
       400      3 -0.3488020E-01  0.3171371E-03  0.9993915E+00
       400      4 -0.3143444E-01  0.0000000E+00  0.9995058E+00

       500      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       500      1 -0.4363705E-01  0.0000000E+00  0.9990475E+00
       500      2 -0.4332780E-01  0.0000000E+00  0.9990609E+00
       500      3 -0.4357302E-01  0.2578222E-03  0.9990502E+00
       500      4 -0.4928341E-01  0.0000000E+00  0.9987848E+00

       600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       600      1 -0.5235714E-01  0.0000000E+00  0.9986284E+00
       600      2 -0.5207682E-01  0.0000000E+00  0.9986431E+00
       600      3 -0.5230483E-01 -0.7575345E-04  0.9986312E+00
       600      4 -0.4925916E-01  0.0000000E+00  0.9987860E+00

       700      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       700      1 -0.6107324E-01  0.0000000E+00  0.9981333E+00
       700      2 -0.6140130E-01  0.0000000E+00  0.9981132E+00
       700      3 -0.6100513E-01 -0.3274156E-03  0.9981374E+00
       700      4 -0.5901631E-01  0.0000000E+00  0.9982570E+00

       800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       800      1 -0.6978469E-01  0.0000000E+00  0.9975621E+00
       800      2 -0.6953951E-01  0.0000000E+00  0.9975792E+00
       800      3 -0.6969143E-01 -0.2299569E-03  0.9975686E+00
       800      4 -0.7525505E-01  0.0000000E+00  0.9971643E+00

       900      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       900      1 -0.7849082E-01  0.0000000E+00  0.9969148E+00
       900      2 -0.7808924E-01  0.0000000E+00  0.9969464E+00
       900      3 -0.7841112E-01  0.1127778E-03  0.9969211E+00
       900      4 -0.7418001E-01  0.0000000E+00  0.9972449E+00

      1000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1000      1 -0.8719096E-01  0.0000000E+00  0.9961916E+00
      1000      2 -0.8744979E-01  0.0000000E+00  0.9961689E+00
      1000      3 -0.8708796E-01  0.3347397E-03  0.9962006E+00
      1000      4 -0.8672674E-01  0.0000000E+00  0.9962321E+00

      1100      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1100      1 -0.9588446E-01  0.0000000E+00  0.9953925E+00
      1100      2 -0.9571441E-01  0.0000000E+00  0.9954088E+00
      1100      3 -0.9576364E-01  0.2006244E-03  0.9954041E+00
      1100      4 -0.1007238E+00  0.0000000E+00  0.9949144E+00

      1200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1200      1 -0.1045707E+00  0.0000000E+00  0.9945175E+00
      1200      2 -0.1040690E+00  0.0000000E+00  0.9945701E+00
      1200      3 -0.1044623E+00 -0.1466003E-03  0.9945288E+00
      1200      4 -0.9941412E-01  0.0000000E+00  0.9950461E+00

      1300      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1300      1 -0.1132489E+00  0.0000000E+00  0.9935667E+00
      1300      2 -0.1134108E+00  0.0000000E+00  0.9935482E+00
      1300      3 -0.1131114E+00 -0.3361627E-03  0.9935823E+00
      1300      4 -0.1144095E+00  0.0000000E+00  0.9934337E+00

      1400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1400      1 -0.1219185E+00  0.0000000E+00  0.9925401E+00
      1400      2 -0.1218261E+00  0.0000000E+00  0.9925515E+00
      1400      3 -0.1217715E+00 -0.1674047E-03  0.9925581E+00
      1400      4 -0.1257253E+00  0.0000000E+00  0.9920651E+00

      1500      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1500      1 -0.1305788E+00  0.0000000E+00  0.9914379E+00
      1500      2 -0.1300027E+00  0.0000000E+00  0.9915136E+00
      1500      3 -0.1304404E+00  0.1796054E-03  0.9914561E+00
      1500      4 -0.1250115E+00  0.0000000E+00  0.9921553E+00

      1600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1600      1 -0.1392291E+00  0.0000000E+00  0.9902602E+00
      1600      2 -0.1392714E+00  0.0000000E+00  0.9902542E+00
      1600      3 -0.1390583E+00  0.3345608E-03  0.9902841E+00
      1600      4 -0.1419058E+00  0.0000000E+00  0.9898802E+00

      1700      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1700      1 -0.1478689E+00  0.0000000E+00  0.9890070E+00
      1700      2 -0.1478482E+00  0.0000000E+00  0.9890101E+00
      1700      3 -0.1476967E+00  0.1336753E-03  0.9890327E+00
      1700      4 -0.1503293E+00  0.0000000E+00  0.9886360E+00

      1800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1800      1 -0.1564973E+00  0.0000000E+00  0.9876784E+00
      1800      2 -0.1558752E+00  0.0000000E+00  0.9877768E+00
      1800      3 -0.1563276E+00 -0.2084647E-03  0.9877052E+00
      1800      4 -0.1509850E+00  0.0000000E+00  0.9885361E+00

      1900      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1900      1 -0.1651139E+00  0.0000000E+00  0.9862745E+00
      1900      2 -0.1650205E+00  0.0000000E+00  0.9862901E+00
      1900      3 -0.1649112E+00 -0.3271201E-03  0.9863084E+00
      1900      4 -0.1690684E+00  0.0000000E+00  0.9856043E+00

      2000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      2000      1 -0.1737178E+00  0.0000000E+00  0.9847955E+00
      2000      2 -0.1737547E+00  0.0000000E+00  0.9847890E+00
      2000      3 -0.1735209E+00 -0.9708927E-04  0.9848302E+00
      2000      4 -0.1746339E+00  0.0000000E+00  0.9846334E+00

      2100      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      2100      1 -0.1823085E+00  0.0000000E+00  0.9832414E+00
      2100      2 -0.1816696E+00  0.0000000E+00  0.9833596E+00
      2100      3 -0.1821065E+00  0.2356560E-03  0.9832788E+00
      2100      4 -0.1773091E+00  0.0000000E+00  0.9841552E+00

      2200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      2200      1 -0.1908853E+00  0.0000000E+00  0.9816123E+00
      2200      2 -0.1906479E+00  0.0000000E+00  0.9816585E+00
      2200      3 -0.1906529E+00  0.3168501E-03  0.9816575E+00
      2200      4 -0.1957738E+00  0.0000000E+00  0.9806491E+00

      2300      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      2300      1 -0.1994476E+00  0.0000000E+00  0.9799085E+00
      2300      2 -0.1995208E+00  0.0000000E+00  0.9798936E+00
      2300      3 -0.1992259E+00  0.6107675E-04  0.9799536E+00
      2300      4 -0.1987554E+00  0.0000000E+00  0.9800491E+00

      2400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      2400      1 -0.2079947E+00  0.0000000E+00  0.9781300E+00
      2400      2 -0.2073666E+00  0.0000000E+00  0.9782633E+00
      2400      3 -0.2077598E+00 -0.2579553E-03  0.9781798E+00
