# number of rays:       5
# iteration   ray    X              A              Y              B              T              D
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1000000E-03
         0      3  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2000000E-03
         0      4  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.5000000E-03

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      2  0.7997121E-06 -0.2515973E-06  0.0000000E+00  0.0000000E+00 -0.1683067E-02  0.9999989E-04
        10      3  0.1536457E-05 -0.4524917E-06  0.0000000E+00  0.0000000E+00 -0.3369976E-02  0.1999995E-03
        10      4  0.3195787E-05 -0.7561917E-06  0.0000000E+00  0.0000000E+00 -0.8453790E-02  0.4999971E-03

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      2  0.3639828E-06  0.1191826E-06  0.0000000E+00  0.0000000E+00 -0.3350754E-02  0.9999977E-04
        20      3  0.5297010E-06  0.2347478E-06  0.0000000E+00  0.0000000E+00 -0.6709159E-02  0.1999990E-03
        20      4  0.3194995E-06  0.3823840E-06  0.0000000E+00  0.0000000E+00 -0.1683037E-01  0.4999934E-03

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      2  0.2106917E-06 -0.1792100E-06  0.0000000E+00  0.0000000E+00 -0.5003203E-02  0.9999964E-04
        30      3  0.6061641E-06 -0.4136818E-06  0.0000000E+00  0.0000000E+00 -0.1001784E-01  0.1999984E-03
        30      4  0.2503668E-05 -0.9910017E-06  0.0000000E+00  0.0000000E+00 -0.2513044E-01  0.4999883E-03

        40      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      2  0.8739033E-06 -0.1074047E-06  0.0000000E+00  0.0000000E+00 -0.6640552E-02  0.9999949E-04
        40      3  0.1490616E-05 -0.6222344E-07  0.0000000E+00  0.0000000E+00 -0.1329628E-01  0.1999977E-03
        40      4  0.1294941E-05  0.4391385E-06  0.0000000E+00  0.0000000E+00 -0.3335469E-01  0.4999809E-03

        50      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      2  0.4356555E-07  0.8446184E-07  0.0000000E+00  0.0000000E+00 -0.8262938E-02  0.9999932E-04
        50      3 -0.2479036E-08  0.2316854E-07  0.0000000E+00  0.0000000E+00 -0.1654477E-01  0.1999968E-03
        50      4  0.1371762E-05 -0.8624067E-06  0.0000000E+00  0.0000000E+00 -0.4150383E-01  0.4999706E-03

        60      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        60      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        60      2  0.6120956E-06 -0.2719548E-06  0.0000000E+00  0.0000000E+00 -0.9870501E-02  0.9999912E-04
