# number of spin vectors:       5
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1 -0.8730181E-03  0.0000000E+00  0.9999996E+00
        10      2  0.3699268E-03  0.0000000E+00  0.9999999E+00
        10      3  0.1612690E-02  0.0000000E+00  0.9999987E+00
        10      4  0.5339890E-02  0.0000000E+00  0.9999857E+00

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1 -0.1746035E-02  0.0000000E+00  0.9999985E+00
        20      2  0.7405537E-03  0.0000000E+00  0.9999997E+00
        20      3  0.3226688E-02  0.0000000E+00  0.9999948E+00
        20      4  0.1068210E-01  0.0000000E+00  0.9999429E+00

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1 -0.2619052E-02  0.0000000E+00  0.9999966E+00
        30      2  0.1110799E-02  0.0000000E+00  0.9999994E+00
        30      3  0.4839912E-02  0.0000000E+00  0.9999883E+00
        30      4  0.1602274E-01  0.0000000E+00  0.9998716E+00

        40      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      1 -0.3492066E-02  0.0000000E+00  0.9999939E+00
        40      2  0.1481528E-02  0.0000000E+00  0.9999989E+00
        40      3  0.6454303E-02  0.0000000E+00  0.9999792E+00
        40      4  0.2136608E-01  0.0000000E+00  0.9997717E+00

        50      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      1 -0.4365077E-02  0.0000000E+00  0.9999905E+00
        50      2  0.1852532E-02  0.0000000E+00  0.9999983E+00
        50      3  0.8068802E-02  0.0000000E+00  0.9999674E+00
        50      4  0.2670731E-01  0.0000000E+00  0.9996433E+00

        60      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        60      1 -0.5238085E-02  0.0000000E+00  0.9999863E+00
        60      2  0.2223249E-02  0.0000000E+00  0.9999975E+00
        60      3  0.9683131E-02  0.0000000E+00  0.9999531E+00
        60      4  0.3205041E-01  0.0000000E+00  0.9994863E+00

        70      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        70      1 -0.6111089E-02  0.0000000E+00  0.9999813E+00
        70      2  0.2594715E-02  0.0000000E+00  0.9999966E+00
        70      3  0.1129876E-01  0.0000000E+00  0.9999362E+00
        70      4  0.3739196E-01  0.0000000E+00  0.9993007E+00

        80      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        80      1 -0.6984089E-02  0.0000000E+00  0.9999756E+00
        80      2  0.2965948E-02  0.0000000E+00  0.9999956E+00
        80      3  0.1291357E-01  0.0000000E+00  0.9999166E+00
        80      4  0.4273356E-01  0.0000000E+00  0.9990865E+00

        90      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        90      1 -0.7857083E-02  0.0000000E+00  0.9999691E+00
        90      2  0.3337360E-02  0.0000000E+00  0.9999944E+00
        90      3  0.1452944E-01  0.0000000E+00  0.9998944E+00
        90      4  0.4807480E-01  0.0000000E+00  0.9988437E+00

       100      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       100      1 -0.8730071E-02  0.0000000E+00  0.9999619E+00
       100      2  0.3709315E-02  0.0000000E+00  0.9999931E+00
       100      3  0.1614544E-01  0.0000000E+00  0.9998697E+00
       100      4  0.5341396E-01  0.0000000E+00  0.9985725E+00

       110      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       110      1 -0.9603052E-02  0.0000000E+00  0.9999539E+00
       110      2  0.4080854E-02  0.0000000E+00  0.9999917E+00
       110      3  0.1776115E-01  0.0000000E+00  0.9998423E+00
       110      4  0.5875375E-01  0.0000000E+00  0.9982725E+00

       120      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       120      1 -0.1047603E-01  0.0000000E+00  0.9999451E+00
       120      2  0.4453028E-02  0.0000000E+00  0.9999901E+00
       120      3  0.1937813E-01  0.0000000E+00  0.9998122E+00
       120      4  0.6408989E-01  0.0000000E+00  0.9979441E+00

       130      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       130      1 -0.1134899E-01  0.0000000E+00  0.9999356E+00
       130      2  0.4825228E-02  0.0000000E+00  0.9999884E+00
       130      3  0.2099424E-01  0.0000000E+00  0.9997796E+00
       130      4  0.6942671E-01  0.0000000E+00  0.9975871E+00

       140      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       140      1 -0.1222195E-01  0.0000000E+00  0.9999253E+00
       140      2  0.5197299E-02  0.0000000E+00  0.9999865E+00
       140      3  0.2261129E-01  0.0000000E+00  0.9997443E+00
       140      4  0.7475939E-01  0.0000000E+00  0.9972016E+00

       150      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       150      1 -0.1309490E-01  0.0000000E+00  0.9999143E+00
       150      2  0.5570071E-02  0.0000000E+00  0.9999845E+00
       150      3  0.2422848E-01  0.0000000E+00  0.9997064E+00
       150      4  0.8009160E-01  0.0000000E+00  0.9967875E+00

       160      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       160      1 -0.1396784E-01  0.0000000E+00  0.9999024E+00
       160      2  0.5942460E-02  0.0000000E+00  0.9999823E+00
       160      3  0.2584524E-01  0.0000000E+00  0.9996660E+00
       160      4  0.8542025E-01  0.0000000E+00  0.9963450E+00

       170      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       170      1 -0.1484076E-01  0.0000000E+00  0.9998899E+00
       170      2  0.6315235E-02  0.0000000E+00  0.9999801E+00
       170      3  0.2746323E-01  0.0000000E+00  0.9996228E+00
       170      4  0.9074637E-01  0.0000000E+00  0.9958740E+00

       180      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       180      1 -0.1571368E-01  0.0000000E+00  0.9998765E+00
       180      2  0.6688331E-02  0.0000000E+00  0.9999776E+00
       180      3  0.2908030E-01  0.0000000E+00  0.9995771E+00
       180      4  0.9607003E-01  0.0000000E+00  0.9953746E+00

       190      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       190      1 -0.1658658E-01  0.0000000E+00  0.9998624E+00
       190      2  0.7061066E-02  0.0000000E+00  0.9999751E+00
       190      3  0.3069818E-01  0.0000000E+00  0.9995287E+00
       190      4  0.1013890E+00  0.0000000E+00  0.9948469E+00

       200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       200      1 -0.1745948E-01  0.0000000E+00  0.9998476E+00
       200      2  0.7434508E-02  0.0000000E+00  0.9999724E+00
       200      3  0.3231619E-01  0.0000000E+00  0.9994777E+00
       200      4  0.1067062E+00  0.0000000E+00  0.9942906E+00

       210      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       210      1 -0.1833235E-01  0.0000000E+00  0.9998319E+00
       210      2  0.7807746E-02  0.0000000E+00  0.9999695E+00
       210      3  0.3393363E-01  0.0000000E+00  0.9994241E+00
       210      4  0.1120172E+00  0.0000000E+00  0.9937063E+00

       220      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       220      1 -0.1920522E-01  0.0000000E+00  0.9998156E+00
       220      2  0.8181055E-02  0.0000000E+00  0.9999665E+00
       220      3  0.3555224E-01  0.0000000E+00  0.9993678E+00
       220      4  0.1173262E+00  0.0000000E+00  0.9930934E+00

       230      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       230      1 -0.2007807E-01  0.0000000E+00  0.9997984E+00
       230      2  0.8554928E-02  0.0000000E+00  0.9999634E+00
       230      3  0.3716988E-01  0.0000000E+00  0.9993090E+00
       230      4  0.1226286E+00  0.0000000E+00  0.9924526E+00

       240      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       240      1 -0.2095090E-01  0.0000000E+00  0.9997805E+00
       240      2  0.8928349E-02  0.0000000E+00  0.9999601E+00
       240      3  0.3878817E-01  0.0000000E+00  0.9992475E+00
       240      4  0.1279277E+00  0.0000000E+00  0.9917835E+00

       250      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       250      1 -0.2182372E-01  0.0000000E+00  0.9997618E+00
       250      2  0.9302323E-02  0.0000000E+00  0.9999567E+00
       250      3  0.4040660E-01  0.0000000E+00  0.9991833E+00
