I SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 -.3888308707363418E-007 -.1558905348069338E-006 -.9808564172830013E-006
 2.000000000000000 -.3727126666086887E-007 -.1493779793710026E-006 -.9389290623420499E-006
 3.000000000000000 -.3566054017572539E-007 -.1428741758670525E-006 -.8971384611291623E-006
 4.000000000000000 -.3405090735040241E-007 -.1363791232155994E-006 -.8554846067424735E-006
 5.000000000000000 -.3244236900674890E-007 -.1298928247318369E-006 -.8139675204223748E-006
 6.000000000000000 -.3083492470546646E-007 -.1234152786433352E-006 -.7725871908055177E-006
 7.000000000000000 -.2922857443648049E-007 -.1169464849101549E-006 -.7313436176500337E-006
 8.000000000000000 -.2762331821702133E-007 -.1104864436013969E-006 -.6902368013909283E-006
 9.000000000000000 -.2601915605876955E-007 -.1040351547636108E-006 -.6492667423146953E-006
 10.00000000000000 -.2441608793858593E-007 -.9759261840349159E-007 -.6084334408506059E-006
 11.00000000000000 -.2281411391537990E-007 -.9115883446032898E-007 -.5677368954868942E-006
 12.00000000000000 -.2121323388794966E-007 -.8473380282490656E-007 -.5271771066584880E-006
 13.00000000000000 -.1961344786890584E-007 -.7831752347091209E-007 -.4867540739156044E-006
 14.00000000000000 -.1801475599463768E-007 -.7190999688016501E-007 -.4464678000384951E-006
 15.00000000000000 -.1641715813915242E-007 -.6551122263422597E-007 -.4063182827299830E-006
 16.00000000000000 -.1482065431994130E-007 -.5912120081524192E-007 -.3663055225427098E-006
 17.00000000000000 -.1322524464796562E-007 -.5273993163642291E-007 -.3264295199452540E-006
 18.00000000000000 -.1163092897758485E-007 -.4636741478890515E-007 -.2866902740359271E-006
 19.00000000000000 -.1003770741171688E-007 -.4000365048975778E-007 -.2470877854420400E-006
 20.00000000000000 -.8445579807111493E-008 -.3364863845489271E-007 -.2076220534711398E-006
 21.00000000000000 -.6854546390538052E-008 -.2730237930137346E-007 -.1682930808762768E-006
 22.00000000000000 -.5264606730309598E-008 -.2096487142525335E-007 -.1291008581689133E-006
 23.00000000000000 -.3675761368828763E-008 -.1463611692482104E-007 -.9004539809049671E-007
 24.00000000000000 -.2088010033864240E-008 -.8316114800082966E-008 -.5112669477301654E-007
 25.00000000000000 -.5013527824704734E-009 -.2004865193100123E-008 -.1234474877437614E-007
 26.00000000000000 0.1084210429510058E-008 0.4297632008079839E-008 0.2630044035623916E-007
 27.00000000000000 0.2668679567433707E-008 0.1059137668699158E-007 0.6480887198498951E-007
 28.00000000000000 0.4252054716698335E-008 0.1687636908547488E-007 0.1031805472271666E-006
 29.00000000000000 0.5834335772697067E-008 0.2315260896168826E-007 0.1414154652536031E-006
 30.00000000000000 0.7415522696122492E-008 0.2942009622274101E-007 0.1795136257267529E-006
