# number of rays:       5
# iteration   ray    X              A              Y              B              T              D
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2  0.1000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      3  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      4  0.5000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      2 -0.1038045E-02  0.3672093E-03  0.0000000E+00  0.0000000E+00 -0.2411812E-03 -0.4750810E-09
        10      3 -0.2076463E-02  0.7350488E-03  0.0000000E+00  0.0000000E+00 -0.9655426E-03 -0.1900847E-08
        10      4 -0.5189155E-02  0.1846103E-02  0.0000000E+00  0.0000000E+00 -0.6045052E-02 -0.1189001E-07

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      2  0.4022979E-03 -0.4963983E-03  0.0000000E+00  0.0000000E+00 -0.4825843E-03 -0.8474501E-09
        20      3  0.8022929E-03 -0.9933202E-03  0.0000000E+00  0.0000000E+00 -0.1925698E-02 -0.3390700E-08
        20      4  0.1964873E-02 -0.2486047E-02  0.0000000E+00  0.0000000E+00 -0.1203276E-01 -0.2119746E-07

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      2  0.4947726E-03  0.3034114E-03  0.0000000E+00  0.0000000E+00 -0.7144836E-03 -0.1229734E-08
        30      3  0.9945028E-03  0.6056295E-03  0.0000000E+00  0.0000000E+00 -0.2861533E-02 -0.4921477E-08
        30      4  0.2556837E-02  0.1491646E-02  0.0000000E+00  0.0000000E+00 -0.1791994E-01 -0.3080909E-07

        40      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      2 -0.1070875E-02  0.8660809E-04  0.0000000E+00  0.0000000E+00 -0.9511307E-03 -0.1713150E-08
        40      3 -0.2145190E-02  0.1763538E-03  0.0000000E+00  0.0000000E+00 -0.3804125E-02 -0.6857178E-08
        40      4 -0.5401988E-02  0.4864182E-03  0.0000000E+00  0.0000000E+00 -0.2380378E-01 -0.4296216E-07

        50      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      2  0.9516185E-03 -0.4202081E-03  0.0000000E+00  0.0000000E+00 -0.1184541E-02 -0.2169101E-08
        50      3  0.1899510E-02 -0.8428292E-03  0.0000000E+00  0.0000000E+00 -0.4736611E-02 -0.8680821E-08
        50      4  0.4687200E-02 -0.2139934E-02  0.0000000E+00  0.0000000E+00 -0.2963475E-01 -0.5432560E-07

        60      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        60      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
