# number of rays:       5
# iteration   ray    X              A              Y              B              T              D
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2  0.1000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      3  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      4  0.5000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      2 -0.2832003E-03 -0.3768872E-03  0.0000000E+00  0.0000000E+00 -0.3175939E-04  0.1402103E-12
         1      3 -0.5713299E-03 -0.7530061E-03  0.0000000E+00  0.0000000E+00 -0.1215220E-03  0.1136862E-11
         1      4 -0.1466961E-02 -0.1876222E-02  0.0000000E+00  0.0000000E+00 -0.7397056E-03  0.1847538E-10

         2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      2 -0.6349225E-03  0.4928669E-03  0.0000000E+00  0.0000000E+00 -0.5752392E-04 -0.1264200E-09
         2      3 -0.1272671E-02  0.9864984E-03  0.0000000E+00  0.0000000E+00 -0.2324038E-03 -0.5053400E-09
         2      4 -0.3200668E-02  0.2472207E-02  0.0000000E+00  0.0000000E+00 -0.1463677E-02 -0.3150554E-08

         3      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         3      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         3      2  0.1107734E-02 -0.2659458E-03  0.0000000E+00  0.0000000E+00 -0.8847027E-04 -0.2055904E-09
         3      3  0.2215455E-02 -0.5325394E-03  0.0000000E+00  0.0000000E+00 -0.3517621E-03 -0.8220216E-09
         3      4  0.5537902E-02 -0.1337892E-02  0.0000000E+00  0.0000000E+00 -0.2194056E-02 -0.5132432E-08

         4      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         4      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         4      2 -0.8143232E-03 -0.1452157E-03  0.0000000E+00  0.0000000E+00 -0.1176615E-03 -0.1722654E-09
         4      3 -0.1632248E-02 -0.2893826E-03  0.0000000E+00  0.0000000E+00 -0.4667523E-03 -0.6887081E-09
         4      4 -0.4111587E-02 -0.7131389E-03  0.0000000E+00  0.0000000E+00 -0.2907162E-02 -0.4299869E-08

         5      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         5      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         5      2 -0.4839068E-04  0.4562611E-03  0.0000000E+00  0.0000000E+00 -0.1434675E-03 -0.2195491E-09
         5      3 -0.9943258E-04  0.9132941E-03  0.0000000E+00  0.0000000E+00 -0.5769945E-03 -0.8777824E-09
         5      4 -0.2612592E-03  0.2287664E-02  0.0000000E+00  0.0000000E+00 -0.3624117E-02 -0.5475444E-08

         6      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         6      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
