# number of rays:       5
# iteration   ray    X              A              Y              B              T              D
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2  0.1000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      3  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      4  0.5000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      2  0.7366488E-03 -0.4788215E-03  0.0000000E+00  0.0000000E+00 -0.2367458E-03 -0.4193019E-09
        10      3  0.1462926E-02 -0.9600053E-03  0.0000000E+00  0.0000000E+00 -0.9518688E-03 -0.1675150E-08
        10      4  0.3473476E-02 -0.2431163E-02  0.0000000E+00  0.0000000E+00 -0.5975880E-02 -0.1038815E-07

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      2 -0.6174452E-03 -0.2484221E-03  0.0000000E+00  0.0000000E+00 -0.4720633E-03 -0.7872562E-09
        20      3 -0.1258467E-02 -0.4856833E-03  0.0000000E+00  0.0000000E+00 -0.1893540E-02 -0.3151992E-08
        20      4 -0.3537562E-02 -0.1019550E-02  0.0000000E+00  0.0000000E+00 -0.1187127E-01 -0.1982845E-07

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      2 -0.1057967E-02  0.3491963E-03  0.0000000E+00  0.0000000E+00 -0.7089412E-03 -0.1269619E-08
        30      3 -0.2103505E-02  0.7113056E-03  0.0000000E+00  0.0000000E+00 -0.2837048E-02 -0.5079765E-08
        30      4 -0.4980549E-02  0.1983740E-02  0.0000000E+00  0.0000000E+00 -0.1776036E-01 -0.3171578E-07

        40      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      2  0.6793258E-04  0.4302643E-03  0.0000000E+00  0.0000000E+00 -0.9414196E-03 -0.1605465E-08
        40      3  0.1916916E-03  0.8483615E-03  0.0000000E+00  0.0000000E+00 -0.3764948E-02 -0.6420741E-08
        40      4  0.1426574E-02  0.1874638E-02  0.0000000E+00  0.0000000E+00 -0.2355576E-01 -0.4012113E-07

        50      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      2  0.1092160E-02 -0.1254185E-03  0.0000000E+00  0.0000000E+00 -0.1169466E-02 -0.2080151E-08
        50      3  0.2196470E-02 -0.2800434E-03  0.0000000E+00  0.0000000E+00 -0.4680915E-02 -0.8331245E-08
        50      4  0.5564068E-02 -0.1190647E-02  0.0000000E+00  0.0000000E+00 -0.2930839E-01 -0.5236961E-07

        60      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        60      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
