# number of rays:       5
# iteration   ray    X              A              Y              B              T              D
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2  0.1000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      3  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      4  0.5000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      2  0.1313399E-04 -0.4469790E-03  0.0000000E+00  0.0000000E+00 -0.2547967E-04  0.1420681E-12
         1      3  0.2060400E-04 -0.8932098E-03  0.0000000E+00  0.0000000E+00 -0.1071527E-03  0.1257488E-11
         1      4 -0.5690028E-05 -0.2224605E-02  0.0000000E+00  0.0000000E+00 -0.6901592E-03  0.2533530E-10

         2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      2 -0.1013822E-02  0.3851846E-03  0.0000000E+00  0.0000000E+00 -0.5655795E-04 -0.1306685E-09
         2      3 -0.2027834E-02  0.7716053E-03  0.0000000E+00  0.0000000E+00 -0.2258890E-03 -0.5223101E-09
         2      4 -0.5058379E-02  0.1946440E-02  0.0000000E+00  0.0000000E+00 -0.1412446E-02 -0.3253444E-08

         3      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         3      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         3      2  0.8565176E-03  0.1159165E-03  0.0000000E+00  0.0000000E+00 -0.8378501E-04 -0.1228944E-09
         3      3  0.1715098E-02  0.2301431E-03  0.0000000E+00  0.0000000E+00 -0.3345212E-03 -0.4920597E-09
         3      4  0.4331051E-02  0.5434967E-03  0.0000000E+00  0.0000000E+00 -0.2090979E-02 -0.3100589E-08

         4      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         4      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         4      2  0.2734981E-03 -0.4844872E-03  0.0000000E+00  0.0000000E+00 -0.1091169E-03 -0.1586968E-09
         4      3  0.5373563E-03 -0.9680559E-03  0.0000000E+00  0.0000000E+00 -0.4418160E-03 -0.6335355E-09
         4      4  0.1213553E-02 -0.2407114E-02  0.0000000E+00  0.0000000E+00 -0.2784334E-02 -0.3914092E-08

         5      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         5      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         5      2 -0.1094491E-02  0.3015657E-03  0.0000000E+00  0.0000000E+00 -0.1393602E-03 -0.2782644E-09
         5      3 -0.2188476E-02  0.6060169E-03  0.0000000E+00  0.0000000E+00 -0.5580975E-03 -0.1113310E-08
         5      4 -0.5451201E-02  0.1561906E-02  0.0000000E+00  0.0000000E+00 -0.3495021E-02 -0.6962707E-08

         6      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         6      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
