# number of spin vectors:       5
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1 -0.8730182E-04  0.0000000E+00  0.1000000E+01
         1      2 -0.4017865E-03  0.0000000E+00  0.9999999E+00
         1      3 -0.7161309E-03  0.0000000E+00  0.9999997E+00
         1      4 -0.1657679E-02  0.0000000E+00  0.9999986E+00

         2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      1 -0.1746036E-03  0.0000000E+00  0.1000000E+01
         2      2  0.2369426E-03  0.0000000E+00  0.1000000E+01
         2      3  0.6485027E-03  0.0000000E+00  0.9999998E+00
         2      4  0.1883542E-02  0.0000000E+00  0.9999982E+00

         3      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         3      1 -0.2619055E-03  0.0000000E+00  0.1000000E+01
         3      2 -0.4842512E-03  0.0000000E+00  0.9999999E+00
         3      3 -0.7078576E-03  0.0000000E+00  0.9999997E+00
         3      4 -0.1388615E-02  0.0000000E+00  0.9999990E+00

         4      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         4      1 -0.3492073E-03  0.0000000E+00  0.9999999E+00
         4      2 -0.4707203E-03  0.0000000E+00  0.9999999E+00
         4      3 -0.5928957E-03  0.0000000E+00  0.9999998E+00
         4      4 -0.9599965E-03  0.0000000E+00  0.9999995E+00

         5      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         5      1 -0.4365091E-03  0.0000000E+00  0.9999999E+00
         5      2 -0.5616752E-04  0.0000000E+00  0.1000000E+01
         5      3  0.3231699E-03  0.0000000E+00  0.9999999E+00
         5      4  0.1453218E-02  0.0000000E+00  0.9999989E+00

         6      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         6      1 -0.5238109E-03  0.0000000E+00  0.9999999E+00
         6      2 -0.8998010E-03  0.0000000E+00  0.9999996E+00
         6      3 -0.1277749E-02  0.0000000E+00  0.9999992E+00
         6      4 -0.2425766E-02  0.0000000E+00  0.9999971E+00

         7      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         7      1 -0.6111127E-03  0.0000000E+00  0.9999998E+00
         7      2 -0.5021871E-03  0.0000000E+00  0.9999999E+00
         7      3 -0.3946609E-03  0.0000000E+00  0.9999999E+00
         7      4 -0.7451549E-04  0.0000000E+00  0.1000000E+01

         8      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         8      1 -0.6984145E-03  0.0000000E+00  0.9999998E+00
         8      2 -0.4668428E-03  0.0000000E+00  0.9999999E+00
         8      3 -0.2378390E-03  0.0000000E+00  0.1000000E+01
         8      4  0.4276678E-03  0.0000000E+00  0.9999999E+00

         9      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         9      1 -0.7857163E-03  0.0000000E+00  0.9999997E+00
         9      2 -0.1199480E-02  0.0000000E+00  0.9999993E+00
         9      3 -0.1615487E-02  0.0000000E+00  0.9999987E+00
         9      4 -0.2876043E-02  0.0000000E+00  0.9999959E+00

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1 -0.8730181E-03  0.0000000E+00  0.9999996E+00
        10      2 -0.5673404E-03  0.0000000E+00  0.9999998E+00
        10      3 -0.2637698E-03  0.0000000E+00  0.1000000E+01
        10      4  0.6402492E-03  0.0000000E+00  0.9999998E+00

        11      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        11      1 -0.9603198E-03  0.0000000E+00  0.9999995E+00
        11      2 -0.9492441E-03  0.0000000E+00  0.9999995E+00
        11      3 -0.9423923E-03  0.0000000E+00  0.9999996E+00
        11      4 -0.9571348E-03  0.0000000E+00  0.9999995E+00

        12      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        12      1 -0.1047622E-02  0.0000000E+00  0.9999995E+00
        12      2 -0.1371879E-02  0.0000000E+00  0.9999991E+00
        12      3 -0.1698639E-02  0.0000000E+00  0.9999986E+00
        12      4 -0.2687241E-02  0.0000000E+00  0.9999964E+00

        13      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        13      1 -0.1134923E-02  0.0000000E+00  0.9999994E+00
        13      2 -0.7270695E-03  0.0000000E+00  0.9999997E+00
        13      3 -0.3222924E-03  0.0000000E+00  0.9999999E+00
        13      4  0.8754288E-03  0.0000000E+00  0.9999996E+00

        14      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        14      1 -0.1222225E-02  0.0000000E+00  0.9999993E+00
        14      2 -0.1435357E-02  0.0000000E+00  0.9999990E+00
        14      3 -0.1653844E-02  0.0000000E+00  0.9999986E+00
        14      4 -0.2352325E-02  0.0000000E+00  0.9999972E+00

        15      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        15      1 -0.1309527E-02  0.0000000E+00  0.9999991E+00
        15      2 -0.1444743E-02  0.0000000E+00  0.9999990E+00
        15      3 -0.1582936E-02  0.0000000E+00  0.9999987E+00
        15      4 -0.2002890E-02  0.0000000E+00  0.9999980E+00

        16      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        16      1 -0.1396829E-02  0.0000000E+00  0.9999990E+00
        16      2 -0.1013158E-02  0.0000000E+00  0.9999995E+00
        16      3 -0.6340804E-03  0.0000000E+00  0.9999998E+00
        16      4  0.4698105E-03  0.0000000E+00  0.9999999E+00

        17      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        17      1 -0.1484130E-02  0.0000000E+00  0.9999989E+00
        17      2 -0.1856109E-02  0.0000000E+00  0.9999983E+00
        17      3 -0.2233754E-02  0.0000000E+00  0.9999975E+00
        17      4 -0.3407650E-02  0.0000000E+00  0.9999942E+00

        18      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        18      1 -0.1571432E-02  0.0000000E+00  0.9999988E+00
        18      2 -0.1476418E-02  0.0000000E+00  0.9999989E+00
        18      3 -0.1385083E-02  0.0000000E+00  0.9999990E+00
        18      4 -0.1117828E-02  0.0000000E+00  0.9999994E+00

        19      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        19      1 -0.1658734E-02  0.0000000E+00  0.9999986E+00
        19      2 -0.1418338E-02  0.0000000E+00  0.9999990E+00
        19      3 -0.1184495E-02  0.0000000E+00  0.9999993E+00
        19      4 -0.5365080E-03  0.0000000E+00  0.9999999E+00

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1 -0.1746035E-02  0.0000000E+00  0.9999985E+00
        20      2 -0.2162719E-02  0.0000000E+00  0.9999977E+00
        20      3 -0.2584812E-02  0.0000000E+00  0.9999967E+00
        20      4 -0.3881885E-02  0.0000000E+00  0.9999925E+00

        21      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        21      1 -0.1833337E-02  0.0000000E+00  0.9999983E+00
        21      2 -0.1537987E-02  0.0000000E+00  0.9999988E+00
        21      3 -0.1247274E-02  0.0000000E+00  0.9999992E+00
        21      4 -0.3902715E-03  0.0000000E+00  0.9999999E+00

        22      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        22      1 -0.1920639E-02  0.0000000E+00  0.9999982E+00
        22      2 -0.1898470E-02  0.0000000E+00  0.9999982E+00
        22      3 -0.1884688E-02  0.0000000E+00  0.9999982E+00
        22      4 -0.1913562E-02  0.0000000E+00  0.9999982E+00

        23      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        23      1 -0.2007940E-02  0.0000000E+00  0.9999980E+00
        23      2 -0.2341641E-02  0.0000000E+00  0.9999973E+00
        23      3 -0.2680476E-02  0.0000000E+00  0.9999964E+00
        23      4 -0.3715366E-02  0.0000000E+00  0.9999931E+00

        24      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        24      1 -0.2095242E-02  0.0000000E+00  0.9999978E+00
        24      2 -0.1691434E-02  0.0000000E+00  0.9999986E+00
        24      3 -0.1293679E-02  0.0000000E+00  0.9999992E+00
        24      4 -0.1328866E-03  0.0000000E+00  0.1000000E+01

        25      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        25      1 -0.2182544E-02  0.0000000E+00  0.9999976E+00
