# number of spin vectors:       5
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1 -0.8652609E-04  0.0000000E+00  0.1000000E+01
         1      2 -0.4595605E-03  0.0000000E+00  0.9999999E+00
         1      3 -0.8322954E-03  0.0000000E+00  0.9999997E+00
         1      4 -0.1946070E-02  0.0000000E+00  0.9999981E+00

         2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      1 -0.1730522E-03  0.0000000E+00  0.1000000E+01
         2      2  0.1485821E-03  0.0000000E+00  0.1000000E+01
         2      3  0.4704247E-03  0.0000000E+00  0.9999999E+00
         2      4  0.1445281E-02  0.0000000E+00  0.9999990E+00

         3      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         3      1 -0.2595783E-03  0.0000000E+00  0.1000000E+01
         3      2 -0.1633419E-03  0.0000000E+00  0.1000000E+01
         3      3 -0.6985596E-04  0.0000000E+00  0.1000000E+01
         3      4  0.1750507E-03  0.0000000E+00  0.1000000E+01

         4      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         4      1 -0.3461044E-03  0.0000000E+00  0.9999999E+00
         4      2 -0.7506578E-03  0.0000000E+00  0.9999997E+00
         4      3 -0.1155016E-02  0.0000000E+00  0.9999993E+00
         4      4 -0.2361056E-02  0.0000000E+00  0.9999972E+00

         5      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         5      1 -0.4326305E-03  0.0000000E+00  0.9999999E+00
         5      2 -0.1812604E-03  0.0000000E+00  0.1000000E+01
         5      3  0.7091949E-04  0.0000000E+00  0.1000000E+01
         5      4  0.8572685E-03  0.0000000E+00  0.9999996E+00

         6      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         6      1 -0.5191565E-03  0.0000000E+00  0.9999999E+00
         6      2 -0.3319565E-03  0.0000000E+00  0.9999999E+00
         6      3 -0.1498169E-03  0.0000000E+00  0.1000000E+01
         6      4  0.3309547E-03  0.0000000E+00  0.9999999E+00

         7      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         7      1 -0.6056826E-03  0.0000000E+00  0.9999998E+00
         7      2 -0.1019416E-02  0.0000000E+00  0.9999995E+00
         7      3 -0.1434081E-02  0.0000000E+00  0.9999990E+00
         7      4 -0.2682856E-02  0.0000000E+00  0.9999964E+00

         8      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         8      1 -0.6922087E-03  0.0000000E+00  0.9999998E+00
         8      2 -0.5250344E-03  0.0000000E+00  0.9999999E+00
         8      3 -0.3560157E-03  0.0000000E+00  0.9999999E+00
         8      4  0.2077622E-03  0.0000000E+00  0.1000000E+01

         9      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         9      1 -0.7787348E-03  0.0000000E+00  0.9999997E+00
         9      2 -0.5109108E-03  0.0000000E+00  0.9999999E+00
         9      3 -0.2497583E-03  0.0000000E+00  0.1000000E+01
         9      4  0.4474076E-03  0.0000000E+00  0.9999999E+00

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1 -0.8652608E-03  0.0000000E+00  0.9999996E+00
        10      2 -0.1265359E-02  0.0000000E+00  0.9999992E+00
        10      3 -0.1668562E-02  0.0000000E+00  0.9999986E+00
        10      4 -0.2909189E-02  0.0000000E+00  0.9999958E+00

        11      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        11      1 -0.9517869E-03  0.0000000E+00  0.9999995E+00
        11      2 -0.8780753E-03  0.0000000E+00  0.9999996E+00
        11      3 -0.8012808E-03  0.0000000E+00  0.9999997E+00
        11      4 -0.4847554E-03  0.0000000E+00  0.9999999E+00

        12      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        12      1 -0.1038313E-02  0.0000000E+00  0.9999995E+00
        12      2 -0.7047093E-03  0.0000000E+00  0.9999998E+00
        12      3 -0.3785096E-03  0.0000000E+00  0.9999999E+00
        12      4  0.5057101E-03  0.0000000E+00  0.9999999E+00

        13      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        13      1 -0.1124839E-02  0.0000000E+00  0.9999994E+00
        13      2 -0.1489264E-02  0.0000000E+00  0.9999989E+00
        13      3 -0.1859909E-02  0.0000000E+00  0.9999983E+00
        13      4 -0.3042141E-02  0.0000000E+00  0.9999954E+00

        14      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        14      1 -0.1211365E-02  0.0000000E+00  0.9999993E+00
        14      2 -0.1235210E-02  0.0000000E+00  0.9999992E+00
        14      3 -0.1254797E-02  0.0000000E+00  0.9999992E+00
        14      4 -0.1199754E-02  0.0000000E+00  0.9999993E+00

        15      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        15      1 -0.1297891E-02  0.0000000E+00  0.9999992E+00
        15      2 -0.9170397E-03  0.0000000E+00  0.9999996E+00
        15      3 -0.5433545E-03  0.0000000E+00  0.9999999E+00
        15      4  0.4898530E-03  0.0000000E+00  0.9999999E+00

        16      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        16      1 -0.1384417E-02  0.0000000E+00  0.9999990E+00
        16      2 -0.1693116E-02  0.0000000E+00  0.9999986E+00
        16      3 -0.2011865E-02  0.0000000E+00  0.9999980E+00
        16      4 -0.3088057E-02  0.0000000E+00  0.9999952E+00

        17      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        17      1 -0.1470943E-02  0.0000000E+00  0.9999989E+00
        17      2 -0.1591050E-02  0.0000000E+00  0.9999987E+00
        17      3 -0.1706077E-02  0.0000000E+00  0.9999985E+00
        17      4 -0.1915832E-02  0.0000000E+00  0.9999982E+00

        18      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        18      1 -0.1557469E-02  0.0000000E+00  0.9999988E+00
        18      2 -0.1150563E-02  0.0000000E+00  0.9999993E+00
        18      3 -0.7496131E-03  0.0000000E+00  0.9999997E+00
        18      4  0.3874353E-03  0.0000000E+00  0.9999999E+00

        19      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        19      1 -0.1643995E-02  0.0000000E+00  0.9999986E+00
        19      2 -0.1879998E-02  0.0000000E+00  0.9999982E+00
        19      3 -0.2130274E-02  0.0000000E+00  0.9999977E+00
        19      4 -0.3057187E-02  0.0000000E+00  0.9999953E+00

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1 -0.1730521E-02  0.0000000E+00  0.9999985E+00
        20      2 -0.1940289E-02  0.0000000E+00  0.9999981E+00
        20      3 -0.2144804E-02  0.0000000E+00  0.9999977E+00
        20      4 -0.2611892E-02  0.0000000E+00  0.9999966E+00

        21      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        21      1 -0.1817047E-02  0.0000000E+00  0.9999983E+00
        21      2 -0.1406762E-02  0.0000000E+00  0.9999990E+00
        21      3 -0.1000334E-02  0.0000000E+00  0.9999995E+00
        21      4  0.1903084E-03  0.0000000E+00  0.1000000E+01

        22      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        22      1 -0.1903573E-02  0.0000000E+00  0.9999982E+00
        22      2 -0.2053928E-02  0.0000000E+00  0.9999979E+00
        22      3 -0.2222775E-02  0.0000000E+00  0.9999975E+00
        22      4 -0.2963154E-02  0.0000000E+00  0.9999956E+00

        23      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        23      1 -0.1990099E-02  0.0000000E+00  0.9999980E+00
        23      2 -0.2277998E-02  0.0000000E+00  0.9999974E+00
        23      3 -0.2561392E-02  0.0000000E+00  0.9999967E+00
        23      4 -0.3268164E-02  0.0000000E+00  0.9999947E+00

        24      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        24      1 -0.2076625E-02  0.0000000E+00  0.9999978E+00
        24      2 -0.1685854E-02  0.0000000E+00  0.9999986E+00
        24      3 -0.1296116E-02  0.0000000E+00  0.9999992E+00
        24      4 -0.1050734E-03  0.0000000E+00  0.1000000E+01

        25      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        25      1 -0.2163151E-02  0.0000000E+00  0.9999977E+00
