I CONS(MU) SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 0.1766452251423393E-003 0.1226167428014383E-007 0.4904674283945647E-007 0.1103552056976162E-006
 2.000000000000000 0.1766452251423393E-003 0.1036058018720411E-007 0.4144236646647786E-007 0.9324535885565639E-007
 3.000000000000000 0.1766452251423393E-003 0.8459486051790770E-008 0.3383798990696228E-007 0.7613551158153361E-007
 4.000000000000000 0.1766452251423393E-003 0.6558391720977094E-008 0.2623361259883219E-007 0.5902566264717204E-007
 5.000000000000000 0.1766452251423393E-003 0.4657297582853250E-008 0.1862923604473762E-007 0.4191581539684749E-007
 6.000000000000000 0.1766452251423393E-003 0.2756203434727640E-008 0.1102485945047335E-007 0.2480596805585654E-007
 7.000000000000000 0.1766452251423393E-003 0.8551092797715563E-009 0.3420482828751662E-008 0.7696120652767903E-008
 8.000000000000000 0.1766452251423393E-003 -.1045984866836170E-008 -.4183893776056472E-008 -.9413726724814874E-008
 9.000000000000000 0.1766452251423393E-003 -.2947079028947988E-008 -.1178827042675346E-007 -.2652357419371458E-007
 10.00000000000000 0.1766452251423393E-003 -.4848173180299099E-008 -.1939264701800907E-007 -.4363342151689751E-007
