I SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 -.1618728201622595E-007 -.6474979945363644E-007 -.4046887408480180E-006
 2.000000000000000 -.1520657279893672E-007 -.6082696267123093E-007 -.3801710125846895E-006
 3.000000000000000 -.1422586358151873E-007 -.5690412588829856E-007 -.3556532843175800E-006
 4.000000000000000 -.1324515436411769E-007 -.5298128910540177E-007 -.3311355560501942E-006
 5.000000000000000 -.1226444514689792E-007 -.4905845232315550E-007 -.3066178277855681E-006
 6.000000000000000 -.1128373592958158E-007 -.4513561554042133E-007 -.2821000995158548E-006
 7.000000000000000 -.1030302671200943E-007 -.4121277875668598E-007 -.2575823712403748E-006
 8.000000000000000 -.9322317494865891E-008 -.3728994197471245E-007 -.2330646429769261E-006
 9.000000000000000 -.8341608277153141E-008 -.3336710519034691E-007 -.2085469146961894E-006
 10.00000000000000 -.7360899059943529E-008 -.2944426840801085E-007 -.1840291864285276E-006
 11.00000000000000 -.6380189842532323E-008 -.2552143162459906E-007 -.1595114581490259E-006
 12.00000000000000 -.5399480624856842E-008 -.2159859484038598E-007 -.1349937298693717E-006
 13.00000000000000 -.4418771407570997E-008 -.1767575805744853E-007 -.1104760015924467E-006
 14.00000000000000 -.3438062190017489E-008 -.1375292127357765E-007 -.8595827331212004E-007
 15.00000000000000 -.2457352972526662E-008 -.9830084489769448E-008 -.6144054502876266E-007
 16.00000000000000 -.1476643755228958E-008 -.5907247706857409E-008 -.3692281675327592E-007
 17.00000000000000 -.4959345374196464E-009 -.1984410921688874E-008 -.1240508845976770E-007
 18.00000000000000 0.4847746797831897E-009 0.1938425861040206E-008 0.1211263981824660E-007
 19.00000000000000 0.1465483897358720E-008 0.5861262645295639E-008 0.3663036810651168E-007
 20.00000000000000 0.2446193114813972E-008 0.9784099429136026E-008 0.6114809639334867E-007
 21.00000000000000 0.3426902332281083E-008 0.1370693621300521E-007 0.8566582468002472E-007
 22.00000000000000 0.4407611550205591E-008 0.1762977299870907E-007 0.1101835529783424E-006
 23.00000000000000 0.5388320767247491E-008 0.2155260978106715E-007 0.1347012812591858E-006
 24.00000000000000 0.6369029985072049E-008 0.2547544656654401E-007 0.1592190095592246E-006
 25.00000000000000 0.7349739202894913E-008 0.2939828335204797E-007 0.1837367378599953E-006
 26.00000000000000 0.8330448420795704E-008 0.3332112013787210E-007 0.2082544661630174E-006
 27.00000000000000 0.9311157638188276E-008 0.3724395692170063E-007 0.2327721944543826E-006
 28.00000000000000 0.1029186685585190E-007 0.4116679370667943E-007 0.2572899227540098E-006
 29.00000000000000 0.1127257607352230E-007 0.4508963049180900E-007 0.2818076510570183E-006
 30.00000000000000 0.1225328529061671E-007 0.4901246727465498E-007 0.3063253793460475E-006
