# number of spin vectors:       5
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1 -0.8730181E-03  0.0000000E+00  0.9999996E+00
        10      2 -0.8748063E-03 -0.3694665E-04  0.9999996E+00
        10      3 -0.8801715E-03 -0.7432949E-04  0.9999996E+00
        10      4 -0.9177488E-03 -0.1934547E-03  0.9999996E+00

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1 -0.1746035E-02  0.0000000E+00  0.9999985E+00
        20      2 -0.1749649E-02 -0.7345047E-04  0.9999985E+00
        20      3 -0.1760489E-02 -0.1477583E-03  0.9999984E+00
        20      4 -0.1836400E-02 -0.3843821E-03  0.9999982E+00

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1 -0.2619052E-02  0.0000000E+00  0.9999966E+00
        30      2 -0.2624635E-02 -0.1090811E-03  0.9999965E+00
        30      3 -0.2641387E-02 -0.2194090E-03  0.9999965E+00
        30      4 -0.2758715E-02 -0.5702845E-03  0.9999960E+00

        40      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      1 -0.3492066E-02  0.0000000E+00  0.9999939E+00
        40      2 -0.3499248E-02 -0.1434189E-03  0.9999939E+00
        40      3 -0.3520796E-02 -0.2884289E-03  0.9999938E+00
        40      4 -0.3671742E-02 -0.7487813E-03  0.9999930E+00

        50      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      1 -0.4365077E-02  0.0000000E+00  0.9999905E+00
        50      2 -0.4374073E-02 -0.1760594E-03  0.9999904E+00
        50      3 -0.4401065E-02 -0.3539951E-03  0.9999903E+00
        50      4 -0.4590106E-02 -0.9175636E-03  0.9999890E+00

        60      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        60      1 -0.5238085E-02  0.0000000E+00  0.9999863E+00
        60      2 -0.5248832E-02 -0.2066179E-03  0.9999862E+00
        60      3 -0.5281075E-02 -0.4153250E-03  0.9999860E+00
        60      4 -0.5506941E-02 -0.1074436E-02  0.9999843E+00

        70      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        70      1 -0.6111089E-02  0.0000000E+00  0.9999813E+00
        70      2 -0.6123309E-02 -0.2347347E-03  0.9999812E+00
        70      3 -0.6159973E-02 -0.4716888E-03  0.9999809E+00
        70      4 -0.6416784E-02 -0.1217386E-02  0.9999787E+00

        80      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        80      1 -0.6984089E-02  0.0000000E+00  0.9999756E+00
        80      2 -0.6998069E-02 -0.2600786E-03  0.9999755E+00
        80      3 -0.7040014E-02 -0.5224148E-03  0.9999751E+00
        80      4 -0.7333769E-02 -0.1344566E-02  0.9999722E+00

        90      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        90      1 -0.7857083E-02  0.0000000E+00  0.9999691E+00
        90      2 -0.7872558E-02 -0.2823513E-03  0.9999690E+00
        90      3 -0.7918989E-02 -0.5668980E-03  0.9999685E+00
        90      4 -0.8244198E-02 -0.1454325E-02  0.9999650E+00

       100      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       100      1 -0.8730071E-02  0.0000000E+00  0.9999619E+00
       100      2 -0.8746956E-02 -0.3012906E-03  0.9999617E+00
       100      3 -0.8797615E-02 -0.6046094E-03  0.9999611E+00
       100      4 -0.9152332E-02 -0.1545253E-02  0.9999569E+00

       110      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       110      1 -0.9603052E-02  0.0000000E+00  0.9999539E+00
       110      2 -0.9621569E-02 -0.3166738E-03  0.9999537E+00
       110      3 -0.9677119E-02 -0.6351004E-03  0.9999530E+00
       110      4 -0.1006606E-01 -0.1616187E-02  0.9999480E+00

       120      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       120      1 -0.1047603E-01  0.0000000E+00  0.9999451E+00
       120      2 -0.1049580E-01 -0.3283198E-03  0.9999449E+00
       120      3 -0.1055512E-01 -0.6580072E-03  0.9999441E+00
       120      4 -0.1097043E-01 -0.1666195E-02  0.9999384E+00

       130      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       130      1 -0.1134899E-01  0.0000000E+00  0.9999356E+00
       130      2 -0.1137014E-01 -0.3360920E-03  0.9999353E+00
       130      3 -0.1143360E-01 -0.6730584E-03  0.9999344E+00
       130      4 -0.1187770E-01 -0.1694648E-02  0.9999280E+00

       140      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       140      1 -0.1222195E-01  0.0000000E+00  0.9999253E+00
       140      2 -0.1224453E-01 -0.3398991E-03  0.9999250E+00
       140      3 -0.1231225E-01 -0.6800761E-03  0.9999240E+00
       140      4 -0.1278628E-01 -0.1701192E-02  0.9999168E+00

       150      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       150      1 -0.1309490E-01  0.0000000E+00  0.9999143E+00
       150      2 -0.1311855E-01 -0.3396967E-03  0.9999139E+00
       150      3 -0.1318951E-01 -0.6789758E-03  0.9999128E+00
       150      4 -0.1368610E-01 -0.1685719E-02  0.9999049E+00

       160      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       160      1 -0.1396784E-01  0.0000000E+00  0.9999024E+00
       160      2 -0.1399283E-01 -0.3354879E-03  0.9999020E+00
       160      3 -0.1406781E-01 -0.6697738E-03  0.9999008E+00
       160      4 -0.1459240E-01 -0.1648464E-02  0.9998922E+00

       170      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       170      1 -0.1484076E-01  0.0000000E+00  0.9998899E+00
       170      2 -0.1486693E-01 -0.3273225E-03  0.9998894E+00
       170      3 -0.1494544E-01 -0.6525804E-03  0.9998881E+00
       170      4 -0.1549477E-01 -0.1589909E-02  0.9998787E+00

       180      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       180      1 -0.1571368E-01  0.0000000E+00  0.9998765E+00
       180      2 -0.1574083E-01 -0.3152971E-03  0.9998761E+00
       180      3 -0.1582227E-01 -0.6276000E-03  0.9998746E+00
       180      4 -0.1639211E-01 -0.1510788E-02  0.9998645E+00

       190      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       190      1 -0.1658658E-01  0.0000000E+00  0.9998624E+00
       190      2 -0.1661499E-01 -0.2995544E-03  0.9998619E+00
       190      3 -0.1670021E-01 -0.5951345E-03  0.9998604E+00
       190      4 -0.1729643E-01 -0.1412175E-02  0.9998494E+00

       200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       200      1 -0.1745948E-01  0.0000000E+00  0.9998476E+00
       200      2 -0.1748882E-01 -0.2802799E-03  0.9998470E+00
       200      3 -0.1757682E-01 -0.5555701E-03  0.9998454E+00
       200      4 -0.1819276E-01 -0.1295318E-02  0.9998337E+00

       210      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       210      1 -0.1833235E-01  0.0000000E+00  0.9998319E+00
       210      2 -0.1836265E-01 -0.2577012E-03  0.9998314E+00
       210      3 -0.1845352E-01 -0.5093792E-03  0.9998296E+00
       210      4 -0.1908943E-01 -0.1161725E-02  0.9998171E+00

       220      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       220      1 -0.1920522E-01  0.0000000E+00  0.9998156E+00
       220      2 -0.1923663E-01 -0.2320851E-03  0.9998149E+00
       220      3 -0.1933083E-01 -0.4571161E-03  0.9998130E+00
       220      4 -0.1999029E-01 -0.1013169E-02  0.9997997E+00

       230      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       230      1 -0.2007807E-01  0.0000000E+00  0.9997984E+00
       230      2 -0.2011022E-01 -0.2037335E-03  0.9997977E+00
       230      3 -0.2020666E-01 -0.3994016E-03  0.9997957E+00
       230      4 -0.2088193E-01 -0.8515238E-03  0.9997816E+00

       240      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       240      1 -0.2095090E-01  0.0000000E+00  0.9997805E+00
       240      2 -0.2098401E-01 -0.1729811E-03  0.9997798E+00
       240      3 -0.2108332E-01 -0.3369262E-03  0.9997777E+00
